year,province,cause,weather,deaths,seriousInjuries,minorInjuries,totalInjuries,latitude,longitude
2025,"ราชบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,2,2,13.638255,99.60471
2025,"สิงห์บุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,0,0,14.85385575,100.3799351
2025,"กรุงเทพมหานคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,13.72951638,100.7435787
2025,"อ่างทอง","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,14.65607718,100.4120006
2025,"สิงห์บุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,1,0,1,14.93020163,100.2701345
2025,"กรุงเทพมหานคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,13.63964829,100.4121578
2025,"พัทลุง","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,7.469770068,99.92518355
2025,"ประจวบคีรีขันธ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,12.04448811,99.84905248
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,13.29584335,101.1771975
2025,"แพร่","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,18.14855859,100.1859301
2025,"นครสวรรค์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,15.92357185,100.112038
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,14.36334458,100.1834941
2025,"แพร่","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",1,0,1,1,18.51048194,100.197673
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,14.34543051,100.1896472
2025,"ชลบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",1,1,0,1,13.45572887,100.9971911
2025,"น่าน","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,18.79494575,100.7794681
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,13.12718671,100.9850219
2025,"ประจวบคีรีขันธ์","สูญเสียการควบคุม","แจ่มใส",0,0,3,3,12.45733081,99.90027085
2025,"อุทัยธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,15.12199733,99.63921145
2025,"ราชบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,6,6,13.60636476,99.75973383
2025,"สุราษฎร์ธานี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,4,4,8.625534184,99.35334161
2025,"กรุงเทพมหานคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,13.8199165,100.681855
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,12.9868865,100.9877927
2025,"ลำปาง","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,18.105557,99.509969
2025,"สกลนคร","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,6,6,16.82050489,103.9000507
2025,"กาญจนบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,14.53396529,99.46365953
2025,"ลพบุรี","หลับใน","แจ่มใส",0,0,1,1,15.1546877,101.0552931
2025,"บุรีรัมย์","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,0,0,0,15.57110969,102.967165
2025,"ขอนแก่น","หลับใน","แจ่มใส",1,0,0,0,16.44949842,102.9135362
2025,"นครนายก","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,14.29196609,101.0679538
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,13.3679001,101.0401158
2025,"ร้อยเอ็ด","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,16.38705032,104.1095138
2025,"ภูเก็ต","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,7.798369273,98.30314059
2025,"หนองคาย","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,17.71055395,102.7793583
2025,"เพชรบูรณ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,2,2,16.883424,101.1259237
2025,"นครศรีธรรมราช","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,0,0,0,8.329408216,100.2013341
2025,"สุพรรณบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,14.44562965,100.1313534
2025,"เพชรบูรณ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",1,1,0,1,16.63834,101.213645
2025,"พัทลุง","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,7.570742823,100.0474343
2025,"ตรัง","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,7.654164001,99.56620404
2025,"ภูเก็ต","เมาสุรา","แจ่มใส",0,0,1,1,7.874690885,98.28886061
2025,"สิงห์บุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",0,1,0,1,14.88492236,100.3770544
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,13.14715685,100.9858172
2025,"ชลบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,13.13443654,100.9852874
2025,"นนทบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,13.84447265,100.4127617
2025,"เพชรบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,12.96924008,99.89947101
2025,"นครราชสีมา","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,14.51232606,101.9569533
2025,"เพชรบูรณ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,3,3,17.01169423,101.2522598
2025,"สมุทรปราการ","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,5,5,13.61130243,100.5494347
2025,"เพชรบุรี","คน/รถ/สัตว์ตัดหน้ากระชั้นชิด","แจ่มใส",1,0,0,0,12.93935622,99.90391329
2025,"สิงห์บุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,1,1,14.82568322,100.429829
2025,"เชียงใหม่","ฝ่าฝืนสัญญาณไฟ/เครื่องหมายจราจร","แจ่มใส",0,0,1,1,18.60555,98.834767
2025,"ระนอง","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,10.34411079,98.77831657
2025,"เชียงใหม่","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,1,0,1,18.21585748,98.4462145
2025,"ปราจีนบุรี","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,14.19238384,101.8929722
2025,"เพชรบูรณ์","ขับรถเร็วเกินอัตรากำหนด","แจ่มใส",0,0,0,0,16.08965103,101.0502838
